title_clean,company_clean,location_clean,desc_length,word_count,is_remote,has_contract_info,has_experience_info,has_education_info,has_salary_info,final_category
stagiaire en recrutement,manpower agences,casablanca,305,45,0,1,0,1,1,IT_DEVELOPPEMENT
chaudronnier,non spécifié,meknes,311,42,0,0,0,0,0,SPECIAL_AUTRES
commerciale & réservations (femme),manpower agences,tanger,381,53,0,0,1,0,0,COMMERCIAL_VENTE
stage pfe – génie industriel laayoun,non spécifié,maroc,386,50,0,1,0,1,0,SPECIAL_AUTRES
commercial(e) sédentaire,domino hr morocco,casablanca,407,55,0,0,0,0,0,DATA_IA
auditeur qualité fournisseurs h/f,groupe azura,agadir,330,47,0,0,0,1,0,COMPTABILITE_FINANCE
conseiller d''entretien - casablanca,campus france,casablanca,507,64,0,0,0,0,0,SPECIAL_AUTRES
approvisionneur h/f,locamed,rabat,360,50,0,0,0,1,0,SPECIAL_AUTRES
responsable contrôle de gestion industriel (h/f),energy transfo,casablanca,416,54,0,0,0,1,0,MANAGEMENT_DIRECTION
formateur franco-anglophone - secteur du travel,concentrix,marrakech,385,55,0,0,0,0,0,EDUCATION_FORMATION
chargé(e) de supervision obc & sécurité transport,outsourcia,casablanca,428,62,0,0,0,0,0,LOGISTIQUE_TRANSPORT
conseiller d''entretien - marrakech,campus france,marrakech,488,63,0,0,0,0,0,SPECIAL_AUTRES
comptable groupe (h/f),non spécifié,casablanca,379,48,0,0,1,1,0,COMPTABILITE_FINANCE
responsable achat import (h/f),non spécifié,casablanca,416,53,0,0,1,1,0,MANAGEMENT_DIRECTION
comptable au sein d''une école (h/f),non spécifié,casablanca,372,46,0,0,1,1,0,COMPTABILITE_FINANCE
"commerciaux sédentaires en assurance : 5000dhs net, primes déplafonnées, transport assuré",eca assurances,casablanca,303,39,0,0,0,0,1,DATA_IA
gestionnaire de facturation senior,non spécifié,casablanca,430,57,0,0,1,1,0,DATA_IA
analyste sourcing,attijariwafa bank,casablanca,405,57,0,0,0,1,0,SPECIAL_AUTRES
trésorier / salle des marchés,attijariwafa bank,casablanca,428,68,0,0,0,1,0,SPECIAL_AUTRES
chargé d''affaires grandes entreprises,attijariwafa bank,casablanca,386,47,0,0,0,1,0,DATA_IA
technicien(ne) dessinatrice dao – coordination de projets,non spécifié,casablanca,376,52,0,0,1,0,0,PRODUCTION_INDUSTRIE
comptable fournisseurs,non spécifié,casablanca,428,64,0,0,0,1,0,COMPTABILITE_FINANCE
assistante achat,non spécifié,casablanca,355,48,0,0,1,1,0,ADMINISTRATIF_SUPPORT
finance business partner,groupe label''vie - carrefour,casablanca,383,49,0,0,0,1,0,COMPTABILITE_FINANCE
analyste (mergers & acquisitions) junior,aba technology,casablanca,441,58,0,0,1,1,0,SPECIAL_AUTRES
ingénieur devops sénior (h/f),non spécifié,casablanca,306,40,0,1,1,1,0,ADMIN_SYSTEME_CLOUD
responsable maintenance,best biscuits maroc,maroc,401,51,0,0,0,1,0,DATA_IA
consultant liferay,inetum,casablanca,421,59,0,0,1,0,0,IT_DEVELOPPEMENT
consultant devops aws (h/f),dxc - cdg,rabat,383,54,0,0,1,0,0,ADMIN_SYSTEME_CLOUD
commercial (h/f),axa services maroc,rabat,362,50,0,0,0,1,0,COMMERCIAL_VENTE
commercial (h/f),axa services maroc,rabat,365,51,0,0,0,1,0,COMMERCIAL_VENTE
chargé d’assistance (h/f),axa services maroc,maroc,342,49,0,0,0,1,0,SPECIAL_AUTRES
responsable des achats,non spécifié,casablanca,301,40,0,0,0,0,0,MANAGEMENT_DIRECTION
project management officer - pmo (h/f),bcp tech,casablanca,400,56,0,0,1,1,0,SPECIAL_AUTRES
supply chain crisis management,capgemini engineering,casablanca,468,60,0,0,0,1,0,DATA_IA
avis aux jeunes diplômés. intégrez unifitel et bénéficiez d''un tremplin vers les métiers financiers,unifitel,casablanca,343,49,0,0,0,1,0,SPECIAL_AUTRES
chef de projet moa cash management – kyriba (h/f),tectra,casablanca,377,55,0,0,0,1,0,MANAGEMENT_DIRECTION
ingénieur poste de travail middle senior,dxc - cdg,maroc,451,69,0,0,1,1,0,DATA_IA
cameraman / monteur video,um6p - université mohammed vi polytechnique,maroc,348,55,0,0,0,1,0,SPECIAL_AUTRES
capacity building manager,um6p - université mohammed vi polytechnique,maroc,442,61,0,0,0,1,0,MANAGEMENT_DIRECTION
spécialiste support en systèmes d''information - nador et région - ref. 006412,novancy,nador,439,55,0,0,0,1,0,RESSOURCES_HUMAINES
directeur des systèmes d’information h/f ref. 006406,novancy,casablanca,383,51,0,0,0,1,0,RESSOURCES_HUMAINES
security engineer,um6p - université mohammed vi polytechnique,maroc,473,59,0,0,1,1,0,SPECIAL_AUTRES
planificateur de production usine - nador et région - ref. 006414,novancy,nador,328,49,0,0,0,0,0,LOGISTIQUE_TRANSPORT
ingénieure/ingénieur de développement java /angular (h/f),capgemini,casablanca,355,50,0,0,1,1,0,IT_DEVELOPPEMENT
collaboration solutions specialist (voip cisco),um6p - université mohammed vi polytechnique,maroc,407,53,0,0,1,0,0,SPECIAL_AUTRES
chief financial officer - nador et région - ref. 006415,novancy,nador,462,58,0,0,1,0,0,SPECIAL_AUTRES
network engineer,um6p - université mohammed vi polytechnique,maroc,468,63,0,0,1,0,0,ADMIN_SYSTEME_CLOUD
contrôleur de gestion (h/f),crit,casablanca,411,64,0,0,0,1,0,COMPTABILITE_FINANCE
assistant(e) achats – poste en intérim,crit,casablanca,386,53,0,1,0,1,0,ADMINISTRATIF_SUPPORT
consultant(e) junior finance,crit,casablanca,485,62,0,1,1,1,0,COMPTABILITE_FINANCE
responsable commercial (h/f),eca assurances,casablanca,571,77,0,0,1,1,0,COMMERCIAL_VENTE
responsable systèmes d''information,structural aerospace morocco (aviagroup),maroc,358,46,0,0,0,1,0,RESSOURCES_HUMAINES
ingénieur suivi travaux,novec,maroc,371,51,0,0,1,1,0,INGENIERIE
technicien (ville verte bouskoura),cac (centrale automobile chérifienne),casablanca,371,51,0,0,0,1,0,PRODUCTION_INDUSTRIE
technicien (bouskoura),cac (centrale automobile chérifienne),casablanca,312,42,0,0,0,1,0,PRODUCTION_INDUSTRIE
assistant gouvernante,um6p - université mohammed vi polytechnique,maroc,382,52,0,0,0,0,0,ADMINISTRATIF_SUPPORT
supply chain manager (import-export),nicomatic,casablanca,366,51,0,0,1,1,0,DATA_IA
commerciaux fai - wk off,tersea,fes,369,49,0,0,1,1,0,DATA_IA
chargé(e) de services clients,obk technologies auditec,el jadida,381,56,0,0,0,1,0,SPECIAL_AUTRES
conseillers commerciaux en assurance – émission d’appels,eca assurances,casablanca,392,50,0,0,1,0,0,SPECIAL_AUTRES
infirmière de travail - cdd,novec,sale,404,56,0,1,0,1,0,IT_DEVELOPPEMENT
chef de projet eau potable et assainissement,novec,sale,360,53,0,0,0,1,0,DATA_IA
technicien(ne) sig,novec,sale,405,55,0,0,0,0,0,PRODUCTION_INDUSTRIE
technicien(ne) fluide,novec,sale,351,48,0,0,1,0,0,PRODUCTION_INDUSTRIE
chef de projet ouvrages d''art,novec,sale,405,57,0,0,0,1,0,MANAGEMENT_DIRECTION
technicien(ne) sig / développement rural,novec,sale,389,56,0,0,0,0,0,PRODUCTION_INDUSTRIE
ingénieur d’études en assainissement et drainage d''ouvrage linéaire,novec,sale,386,50,0,0,1,1,0,DATA_IA
hr generalist,cnexia,rabat,336,52,0,0,0,1,0,RESSOURCES_HUMAINES
people operations,cnexia,fes,367,57,0,0,0,1,0,SPECIAL_AUTRES
it talent acquisition sourcer,cnexia,rabat,462,63,0,0,0,0,0,RESSOURCES_HUMAINES
assistant(e) commercial(e) (h/f),maroc climate and security (mcs) - carrier,casablanca,463,60,0,0,0,1,0,COMMERCIAL_VENTE
leader développeur,centrale danone,maroc,454,66,0,0,0,1,0,IT_DEVELOPPEMENT
assistant(e) back office (h/f),maroc climate and security (mcs) - carrier,casablanca,395,58,0,0,0,1,0,ADMINISTRATIF_SUPPORT
téléconseiller btob – prise de rendez-vous professionnels,eca assurances,casablanca,375,45,0,0,0,0,0,COMMERCIAL_VENTE
concepteur développeur c++ sénior (h/f),sofrecom maroc,casablanca,393,59,0,1,1,0,0,IT_DEVELOPPEMENT
ingénieur génie civil,vinci energies afrique de l''ouest,maroc,391,59,0,0,1,1,0,BATIMENT_CONSTRUCTION
ingénieur cfo,vinci energies afrique de l''ouest,maroc,352,49,0,0,0,1,0,INGENIERIE
ingénieur fluide,vinci energies afrique de l''ouest,maroc,372,58,0,0,0,1,0,INGENIERIE
responsable finition - peinture & enduit (h/f),eni group,casablanca,344,46,0,0,1,1,0,MANAGEMENT_DIRECTION
vendeur - développeur,centrale danone,maroc,375,57,0,0,0,1,0,IT_DEVELOPPEMENT
mechanical design engineer,capgemini engineering,casablanca,359,44,0,0,0,1,0,SPECIAL_AUTRES
gestionnaire rh / paie,groupe vilavi,tanger,315,49,0,0,0,1,0,DATA_IA
chargé(e) de paie sénior (expérimenté sur sage),concentrix,rabat,357,54,0,0,1,1,0,DATA_IA
approvisionneur,groupe label''vie - carrefour,maroc,391,52,0,0,1,1,0,IT_DEVELOPPEMENT
demand planner,groupe label''vie - carrefour,maroc,372,56,0,0,0,1,0,SPECIAL_AUTRES
finance business partner,groupe label''vie - carrefour,maroc,426,58,0,0,0,1,0,COMPTABILITE_FINANCE
conseillers en émission d''appels pour un opérateur téléphonique,foundever (ex sitel group),casablanca,354,55,0,0,0,1,0,PRODUCTION_INDUSTRIE
ingénieur conception mécanique,capgemini engineering,casablanca,358,54,0,0,0,1,0,INGENIERIE
chargé(e) de programme - h/f,université internationale de rabat (uir),sale,515,69,0,0,0,1,0,IT_DEVELOPPEMENT
responsable approvisionnement,groupe label''vie - carrefour,maroc,398,54,0,0,0,1,0,MANAGEMENT_DIRECTION
actuaire junior,branche epargne-prévoyance-cdg prévoyance,rabat,407,57,0,0,1,1,0,DATA_IA
gestionnaire paie,orh assessment,casablanca,344,52,0,0,0,1,0,DATA_IA
sirh specialist,groupe label''vie - carrefour,maroc,331,50,0,0,0,1,0,RESSOURCES_HUMAINES
responsable achats et marchés publics (h/f),orh assessment,casablanca,400,55,0,0,0,1,0,MANAGEMENT_DIRECTION
sms administrator,air arabia,casablanca,509,79,0,0,0,1,0,SPECIAL_AUTRES
manager commercial,menara holding,marrakech,349,47,0,0,0,1,0,COMMERCIAL_VENTE
gérant de station-service,non spécifié,maroc,376,56,0,0,0,1,0,MANAGEMENT_DIRECTION
responsable recrutement (h/f),non spécifié,casablanca,429,54,0,0,0,1,0,MANAGEMENT_DIRECTION
"responsable achat , approvisionnement & stock",crit,casablanca,416,52,0,0,1,1,0,LOGISTIQUE_TRANSPORT
commis de rang – tanger,manpower agences,tanger,336,52,0,0,1,0,0,SPECIAL_AUTRES
commercial b2b,non spécifié,oujda,376,53,0,0,1,0,0,COMMERCIAL_VENTE
responsable logistique + suivi client (h/f),crit,casablanca,355,47,0,0,0,1,0,LOGISTIQUE_TRANSPORT
klantendienstmedewerker – leider in belgische telecommunicatie,foundever (ex sitel group),rabat,448,50,0,0,0,0,0,TELECOM_RESEAUX
"jobaanbieding: customer support representative – logistics (nederlands sprekend, 100% remote)",foundever (ex sitel group),casablanca,382,51,1,0,0,0,0,DATA_IA
remote qa-analist – logistiek,foundever (ex sitel group),casablanca,374,48,1,0,0,0,0,SPECIAL_AUTRES
cabin crew - relocation to dubai,emirates airlines,autres_villes,374,54,0,0,0,0,1,DATA_IA
gestionnaire sinistre assurance h/f,non spécifié,meknes,341,44,0,0,0,1,0,DATA_IA
technicien supérieur sav,professional labo,casablanca,395,47,0,0,1,1,0,PRODUCTION_INDUSTRIE
agent de trésorerie / chargé(e) de règlements fournisseurs,non spécifié,casablanca,335,45,0,0,0,1,0,COMPTABILITE_FINANCE
standardiste expérimentée,non spécifié,casablanca,342,44,0,0,1,1,0,ADMINISTRATIF_SUPPORT
stagiaire pré-embauche_consultant technico-fonctionnel microsoft dynamics 365 crm & power platform,inetum,casablanca,381,50,0,1,0,1,0,DATA_IA
contrôleur de gestion (h/f),bcp tech,casablanca,445,60,0,0,1,1,0,COMPTABILITE_FINANCE
analyste sécurité des application et projets (h/f) salé technopolis,axa services maroc,rabat,398,61,0,0,0,1,0,PRODUCTION_INDUSTRIE
chef d''agence ain atiq,fondation arrawaj,maroc,380,56,0,0,0,0,0,DATA_IA
chargé(e) adv,figeac aero maroc,maroc,289,39,0,0,1,1,0,SPECIAL_AUTRES
chef d''agence guelmim,fondation arrawaj,maroc,362,53,0,0,0,0,0,MANAGEMENT_DIRECTION
responsable système de management de la qualité & qualité projets,structural aerospace morocco (aviagroup),maroc,370,50,0,0,0,1,0,PRODUCTION_INDUSTRIE
coordinateur(ice) expérience client lsm,mcdonald''s maroc,casablanca,429,56,0,0,0,1,0,MANAGEMENT_DIRECTION
agent helpdesk (h/f),groupe label''vie - carrefour,maroc,388,52,0,0,0,1,0,SPECIAL_AUTRES
technicien spécialisé en eléctroménager,vinci energies afrique de l''ouest,maroc,361,46,0,0,0,1,0,PRODUCTION_INDUSTRIE
superviseur en génie civil/second oeuvre,vinci energies afrique de l''ouest,maroc,412,65,0,0,0,1,0,MANAGEMENT_DIRECTION
technicien génie civil/second oeuvre,vinci energies afrique de l''ouest,maroc,372,54,0,0,0,1,0,PRODUCTION_INDUSTRIE
superviseur hvac,vinci energies afrique de l''ouest,maroc,395,61,0,0,0,1,0,MANAGEMENT_DIRECTION
office manager expérimenté (e),non spécifié,casablanca,389,48,0,0,1,0,0,ADMINISTRATIF_SUPPORT
technicien hvac,vinci energies afrique de l''ouest,maroc,432,62,0,0,1,1,0,PRODUCTION_INDUSTRIE
superviseur cfa/cfo,vinci energies afrique de l''ouest,maroc,380,54,0,0,0,1,0,MANAGEMENT_DIRECTION
technicien cfo/cfa,vinci energies afrique de l''ouest,sale,441,61,0,0,0,1,0,PRODUCTION_INDUSTRIE
chef d''agence,fondation arrawaj,maroc,380,49,0,0,0,0,0,MANAGEMENT_DIRECTION
bilingual sales representatives french/english,cnexia,casablanca,422,54,0,0,0,0,0,DATA_IA
téléconseiller h/f - prise de rendez-vous btob,eca assurances,casablanca,443,61,0,0,0,0,0,COMMERCIAL_VENTE
commerciaux en assurance santé – émission d’appels,eca assurances,casablanca,328,43,0,0,1,0,0,SANTE_MEDICAL
admissions & outreach officer,al akhawayn university,maroc,451,66,0,0,0,1,0,SPECIAL_AUTRES
manager h/f,mcdonald''s maroc,casablanca,377,55,0,0,0,1,0,MANAGEMENT_DIRECTION
manager h/f,mcdonald''s maroc,marrakech,421,60,0,0,0,1,0,MANAGEMENT_DIRECTION
remote qa-analist – logistiek,foundever (ex sitel group),casablanca,300,37,0,0,0,0,0,SPECIAL_AUTRES
klantendienstmedewerker – leider in belgische telecommunicatie,foundever (ex sitel group),rabat,370,39,0,0,0,0,0,TELECOM_RESEAUX
"jobaanbieding: customer support representative – logistics (nederlands sprekend, 100% remote)",foundever (ex sitel group),casablanca,360,49,1,0,0,0,0,DATA_IA
cadre communication,madaef,rabat,459,57,0,0,0,0,1,MARKETING_COM
assistant(e) administratif(ve) h/f,université internationale de rabat (uir),rabat,401,48,0,0,0,1,0,ADMINISTRATIF_SUPPORT
stagiaire qhse,université internationale de rabat (uir),rabat,392,51,0,0,1,1,0,DATA_IA
responsable achats h/f,université internationale de rabat (uir),rabat,382,49,0,0,1,1,0,MANAGEMENT_DIRECTION
stage - logistique,attijari payment processing,casablanca,304,36,0,1,0,1,0,LOGISTIQUE_TRANSPORT
senior web developer,cnexia tech,maroc,492,63,0,0,1,0,0,IT_DEVELOPPEMENT
senior software developer,cnexia tech,maroc,377,51,0,0,1,1,0,IT_DEVELOPPEMENT
juriste junior (f/h),sfm,casablanca,297,44,0,0,1,1,0,JURIDIQUE_DROIT
chargé(e) administration rh & paie,africa staffing,casablanca,339,48,0,1,1,1,0,DATA_IA
quality assurance analyst intermediate,cnexia tech,maroc,416,53,0,0,1,0,0,SPECIAL_AUTRES
magasinier industriel,eni group,maroc,373,58,0,0,0,1,0,SPECIAL_AUTRES
conseiller client (f/h) - service client - français,foundever (ex sitel group),rabat,399,55,0,1,0,0,1,DATA_IA
conseillers en réception d''appels pour un projet télco,foundever (ex sitel group),rabat,345,48,0,1,1,0,0,SPECIAL_AUTRES
délégué régional et responsable commercial (h/f),non spécifié,agadir,429,58,0,0,0,1,0,COMMERCIAL_VENTE
chef de ligne polyester / moules polyester,eni group,maroc,428,60,0,0,0,1,0,MANAGEMENT_DIRECTION
technicien maintenance - électromécanicien,lesieur cristal,casablanca,361,44,0,0,0,0,0,DATA_IA
acheteuse / approvisionneuse industrielle (h/f),eni group,maroc,350,45,0,0,0,1,0,SPECIAL_AUTRES
technicien qualifié / chef de chantier,eni group,maroc,365,56,0,0,0,1,0,PRODUCTION_INDUSTRIE
réceptionniste,eni group,sale,404,54,0,0,0,1,0,ADMINISTRATIF_SUPPORT
gestionnaire rh polyvalent(e),eni group,casablanca,374,53,0,1,0,1,0,DATA_IA
contrôleur qualité / qualiticien – préfa façade grc,eni group,maroc,328,51,0,0,0,1,0,PRODUCTION_INDUSTRIE
chargé d''affaires réglementaires h/f,locamed,rabat,418,54,0,0,0,1,0,DATA_IA
concepteur développeur python / ansible (h/ f),non spécifié,rabat,360,54,0,0,0,1,0,IT_DEVELOPPEMENT
commerciaux on-line h/f,groupe addoha,casablanca,337,43,0,0,0,1,0,SPECIAL_AUTRES
conseiller commercial,groupe addoha,fes,366,48,0,0,0,0,0,COMMERCIAL_VENTE
assistante dg,obk technologies auditec,casablanca,419,56,0,0,1,1,0,ADMINISTRATIF_SUPPORT
chargé(e) s de conduite d''activité francophones / installation ftth,genius services,casablanca,316,43,0,0,0,1,0,SPECIAL_AUTRES
chargé(e) de recrutement junior,eni group,casablanca,349,46,0,0,1,1,0,SPECIAL_AUTRES
aide laboratoire 4mois (roche noire),manpower agences,casablanca,357,52,0,0,1,1,0,DATA_IA
ingénieur développement en .net expérimenté (e) parfaitement francophone,genius services,casablanca,391,53,0,0,1,1,0,IT_DEVELOPPEMENT
chargé(e) administratif(ve) - fès,cnexia,fes,386,55,0,0,0,1,0,ADMINISTRATIF_SUPPORT
dispatcheur / coordinateur sinistres,non spécifié,casablanca,342,45,0,0,1,1,0,MANAGEMENT_DIRECTION
animateur hse,eni group,maroc,392,53,0,0,0,1,0,PRODUCTION_INDUSTRIE
conseillers en assurance francophones – service fidélisation (réception d’appels) – cdi à rabat,foundever (ex sitel group),rabat,401,57,0,1,1,0,0,SPECIAL_AUTRES
ingénieur qualité assurance,capgemini engineering,casablanca,459,63,0,0,0,1,0,PRODUCTION_INDUSTRIE
sénior ingénieur assurance & qualité,capgemini engineering,casablanca,498,65,0,0,1,1,0,PRODUCTION_INDUSTRIE
klantendienstmedewerker – leider in belgische telecommunicatie,foundever (ex sitel group),rabat,357,36,0,0,0,0,0,TELECOM_RESEAUX
"jobaanbieding: customer support representative – logistics (nederlands sprekend, 100% remote)",foundever (ex sitel group),casablanca,371,49,1,0,0,0,0,DATA_IA
remote qa-analist – logistiek,foundever (ex sitel group),casablanca,360,45,1,0,0,0,0,SPECIAL_AUTRES
hr coordinator dynamique,groupe label''vie - carrefour,rabat,402,55,0,0,1,1,0,RESSOURCES_HUMAINES
chargé (e) de prospection commerciale (h/f),sorec,rabat,382,55,0,0,0,1,0,COMMERCIAL_VENTE
chef de mission comptable (h/f),moore casablanca,casablanca,457,63,0,0,1,0,0,COMPTABILITE_FINANCE
agent constateur,non spécifié,casablanca,252,32,0,0,0,1,0,SPECIAL_AUTRES
gestionnaire paie et administration du personnel,btechnologie,rabat,467,74,0,0,0,1,0,DATA_IA
contrôleur de gestion junior (f/h),sofrecom maroc,rabat,345,50,0,0,1,0,0,COMPTABILITE_FINANCE
chargé(e) de missions - direction générale,non spécifié,casablanca,421,57,0,0,1,1,0,SPECIAL_AUTRES
téléconseiller(e)s,attijariwafa bank,casablanca,404,54,0,0,1,1,0,COMMERCIAL_VENTE
stagiaire comptable fournisseurs (h/f) en cdd.,foundever (ex sitel group),casablanca,334,49,0,1,0,0,0,DATA_IA
ingénieur(e) mécanique / maintenance,domino hr morocco,kenitra,378,50,0,1,0,1,0,DATA_IA
talent acquisition officer,akkodis maroc,tanger,398,55,0,0,1,0,0,RESSOURCES_HUMAINES
office manager (bilingue-fr/eng),marketing call center,rabat,455,59,0,0,0,0,0,DATA_IA
"ingénieur endpoint infra (run, mro, sécurité, projet)",dxc - cdg,casablanca,464,59,0,0,0,1,0,PRODUCTION_INDUSTRIE
"ingénieur endpoint mobile (mdm intune, sécurité, projets)",dxc - cdg,casablanca,386,53,0,0,0,1,0,DATA_IA
"ingénieur endpoint windows (run, mro, sécurité, projets)",dxc - cdg,casablanca,444,62,0,0,0,1,0,PRODUCTION_INDUSTRIE
ingénieur package expert (psadt + app-v),dxc - cdg,casablanca,484,69,0,0,1,1,1,INGENIERIE
project manager ci/cd (endpoint),dxc - cdg,casablanca,434,62,0,0,0,0,0,MANAGEMENT_DIRECTION
chargé d''appel d''offre à bouskoura,crit,casablanca,368,52,0,0,1,1,0,SPECIAL_AUTRES
responsable des ressources humaines (h/f),non spécifié,casablanca,374,53,0,0,1,1,0,DATA_IA
java software full stack senior,manpower agences,casablanca,440,64,0,0,1,0,0,IT_DEVELOPPEMENT
manager h/f,mcdonald''s maroc,agadir,357,51,0,0,0,1,0,MANAGEMENT_DIRECTION
animateur commerciale (h-f),sorec,el jadida,442,64,0,0,0,1,0,COMMERCIAL_VENTE
agent technique & actifs spécialisé en climatisation et froid,groupe label''vie - carrefour,sale,337,43,0,0,0,1,0,SPECIAL_AUTRES
télévendeur(se) énergie btoc,adm value,autres_villes,405,56,0,1,0,0,0,COMMERCIAL_VENTE
téléconseiller recouvrement btoc,adm value,autres_villes,383,51,0,1,1,0,1,COMMERCIAL_VENTE
conseiller(ère) client e-commerce (appels + e-mails),adm value,autres_villes,355,48,0,1,0,0,0,IT_DEVELOPPEMENT
conseiller commercial télécom (prospection),adm value,autres_villes,426,60,0,1,0,0,0,COMMERCIAL_VENTE
conseiller service client énergie,adm value,autres_villes,385,56,0,1,0,0,0,ENERGIE_ENVIRONNEMENT
chargé(e) de clientèle btob recouvrement (énergie),adm value,autres_villes,470,63,0,0,0,0,0,ENERGIE_ENVIRONNEMENT
offre de stage,richbond,casablanca,361,47,0,1,0,1,0,SPECIAL_AUTRES
télévendeur assurance emprunteur,adm value,autres_villes,376,47,0,1,1,0,1,COMMERCIAL_VENTE
bilingual customer service representative (french-english),telus digital,casablanca,465,60,0,0,0,0,0,DATA_IA
bilingual banking customer support agent (french & english),telus digital,casablanca,402,57,0,0,0,0,0,DATA_IA
conseillers commerciaux en énergie,adm value,autres_villes,313,45,0,1,0,0,0,ENERGIE_ENVIRONNEMENT
facilities analyst,telus digital,casablanca,494,62,0,0,0,1,0,SPECIAL_AUTRES
conseiller(ère) client en assurance santé & prévoyance,adm value,autres_villes,448,64,0,1,0,0,0,SANTE_MEDICAL
responsable prospection,groupe label''vie - carrefour,fes,373,53,0,0,0,1,0,MANAGEMENT_DIRECTION
rabat – conseiller(ère) commercial(e) en énergie,adm value,autres_villes,354,48,0,1,0,0,0,COMMERCIAL_VENTE
chargé(e) de clientèle francophone – réception,foundever (ex sitel group),autres_villes,390,54,0,1,0,0,0,SPECIAL_AUTRES
chargés de clientèle francophones – service fidélisation (réception d’appels) – cdi à rabat,foundever (ex sitel group),rabat,365,48,0,1,0,0,0,SPECIAL_AUTRES
rabat – conseiller·ère service client,adm value,autres_villes,429,65,0,1,0,0,1,SPECIAL_AUTRES
télévendeur btoc énergie (prospection),adm value,autres_villes,393,51,0,1,0,0,0,COMMERCIAL_VENTE
commercial en assurance auto,adm value,autres_villes,297,43,0,1,0,0,0,COMMERCIAL_VENTE
chargé(e) de clientèle btob (énergie),adm value,autres_villes,370,54,0,1,0,0,0,ENERGIE_ENVIRONNEMENT
