ID,Titre,Entreprise,Lieu,Source,Date,Description,Lien
17,"Factory Director (Garment) - (Expatriation to Tunisia)","AFRICAWORK","Monastir","Emploi.ma","03/01/2026","On behalf of our client in the Textile Industry , we are seeking a Garment Factory Director for a permanent position based in Monastir, Tunisia . This is a unique opportunity to build and lead a new garment factory from the ground up . The Factory Director will oversee all aspects of operations, from production planning and process optimization to people management and quality control, ensuring the plant runs efficiently, safely, and profitably. The project will begin with two production lines and expand progressively, following a startup mindset to ensure sustainable growth. You will collaborate with external consultants during the setup phase and then take full...","https://www.emploi.ma/offre-emploi-maroc/factory-director-garment-expatriation-tunisia-monastir-9118060"
18,"Agent de Méthode","COMPAGNIE INDUSTRIELLE DES FIBRES","Tanger","Emploi.ma","03/01/2026","Nous sommes à la recherche d'un Agent de Méthode. Missions : Gérer les spécifications techniques des commandes clients et faire le suivi sur le système","https://www.emploi.ma/offre-emploi-maroc/agent-methode-tanger-9117832"
19,"Technicien en Froid et Climatisation","BRICOMA","Hay Riad","Emploi.ma","03/01/2026","Nous recrutons pour notre filiale FC2B, un Technicien en Froid et Climatisation basé à Rabat Hay Riad. Missions : Assure la maintenance préventive et corrective des équipements de conditionnement d’air, climatisation (pompes, à chaleur, CTA, splits, caissons de désenfumage, etc.) Détecter et réparer les fuites de gaz Réaliser les ajouts ou prolongements de points d’eau Contrôler les prestations réalisées par les techniciens externes Effectuer des rondes techniques quotidiennes et renseigner les fiches de suivi Intervenir rapidement en cas de panne ou d’urgence technique","https://www.emploi.ma/offre-emploi-maroc/technicien-froid-climatisation-hay-riad-9117702"
20,"Chef de Chantier Électromécanique / Chef de Chantier Fluide","TECTRA","Abidjan","Emploi.ma","03/01/2026","Nous sommes à la recherche d'un Chef de Chantier Électromécanique / Chef de Chantier Fluide. Missions : Assurer le suivi de l’exécution des travaux fluides sur site, Coordonner les équipes techniques et les sous-traitants, Contrôler la qualité, le respect des délais et le budget, Lire, interpréter et appliquer les plans techniques, Effectuer un reporting régulier auprès de la direction de projet.","https://www.emploi.ma/offre-emploi-maroc/chef-chantier-electromecanique-chef-chantier-fluide-abidjan-9115843"
21,"Chef Boulangerie","TECTRA CASA BOURGOGNE – RECRUTEMENT","Casablanca","Emploi.ma","03/01/2026","Pour l'un de ces clients opérant dans le secteur hôtellerie restauration, TECTRA recrute 4 Chefs Boulangerie pâtisserie. Missions principales Responsable de l'organisation et du bon fonctionnement de la section pâte/viennoiserie. Produire des viennoiseries et des pâtes feuilletées (croissants, pains au chocolat, etc.) Produire des glaces et des gâteaux Capacité à gérer une équipe Garantir une présentation impeccable des assiettes et une uniformité des produits avant le service Superviser le nettoyage et l'entretien des postes de travail, des équipements (mélangeurs, laminoirs, fours, etc.) et des zones de stockage Contribuer, en collaboration avec le chef pâtissier, à l’élaboration...","https://www.emploi.ma/offre-emploi-maroc/chef-boulangerie-casablanca-9115778"
22,"Technicien de Maintenance","TECTRA","Bir Jdid","Emploi.ma","03/01/2026","Pour l’un de ses clients, dans le secteur de BTP, TECTRA recherche un(e) Technicien de Maintenance , à Bir Jdid . Missions Principales : Contrôler, surveiller et entretenir régulièrement les équipements (entretien préventif), Intervenir en cas de panne ou coordonner les équipes, Proposer des solutions pour optimiser sécurité et performance des matériels (veille).","https://www.emploi.ma/offre-emploi-maroc/technicien-maintenance-bir-jdid-9121446"
23,"Coursier Expérimenté","BRICOMA","Casablanca","Emploi.ma","03/01/2026","Nous recrutons un Coursier Expérimenté qui aura comme missions principales : Assurer les courses(client, fournisseur, banque et administration) Apporter un appui à l’équipe opérationnelle (préparation et impression des documents, participation à des opérations ponctuelles hors site…) Participer aux tâches administratives selon le besoin. Première expérience dans une société d'import est un plus","https://www.emploi.ma/offre-emploi-maroc/coursier-experimente-casablanca-9121264"
24,"Responsable Librairie","CALLIOPE","Casablanca","Emploi.ma","03/01/2026","Nous sommes à la recherche d'un(e) Responsable de Librairie. Missions : Animer et gérer les rayons de la librairie, regroupés au sein d’un même secteur ou d’une même thématique ; Veiller à la pertinence de l’offre et à la promotion des produits pour atteindre les objectifs de vente fixés par la direction ; Accueillir les clients et gérer l'aspect commercial (merchandising, commandes, conseils à la vente) ; Garantir un environnement culturel adapté et cohérent ; Encadrer et animer l’équipe des vendeurs autour des valeurs du commerce des livres et autour du service client ; Veiller au développement du CA et de la rentabilité de la librairie ; Participer...","https://www.emploi.ma/offre-emploi-maroc/responsable-librairie-casablanca-9120948"
25,"Responsable Moyens Généraux","CALLIOPE","Casablanca","Emploi.ma","03/01/2026","Nous sommes à la recherche d'un Responsable des Moyens Généraux pour rejoindre notre équipe dynamique. En tant que responsable, vous serez le garant de la gestion de nos infrastructures et services généraux, contribuant ainsi à offrir un environnement de travail optimal pour nos collaborateurs et un fonctionnement fluide des opérations. Le responsable des moyens généraux travaille généralement en étroite collaboration avec les autres services de l'entreprise (RH, finance, sécurité) et peut superviser une équipe de collaborateurs ou de prestataires externes. Ce poste requiert un sens aigu de l’organisation, une forte capacité à anticiper et à résoudre des problèmes variés au quotidien, et un bon relationnel pour...","https://www.emploi.ma/offre-emploi-maroc/responsable-moyens-generaux-casablanca-9120889"
26,"Enseignant(e) FLE","CALLIOPE","Casablanca","Emploi.ma","03/01/2026","Dans le cadre du développement de nos activités, nous recherchons des Enseignants(es) FLE pour rejoindre notre équipe pédagogique. Vos missions principales : Dispenser des cours de Français Langue Étrangère (FLE) à un public varié : enfants, adolescents, adultes, en présentiel au centre et/ou en entreprise. Enseigner tous niveaux : A1 à C1/C2 . Participer aux événements organisés par le centre : Concours scolaires Formations d’enseignants de français Animations lecture Actions de promotion de la lecture et du livre francophone Se déplacer en entreprise ou lors d’interventions extérieures ponctuelles (Casablanca et environs).","https://www.emploi.ma/offre-emploi-maroc/enseignante-fle-casablanca-9120869"
27,"Enseignant(e) FLE","CALLIOPE","Tout le Maroc","Emploi.ma","03/01/2026","Dans le cadre du développement de nos activités, nous recherchons des Enseignants(es) FLE pour rejoindre notre équipe pédagogique. Vos missions principales : Dispenser des cours de Français Langue Étrangère (FLE) à un public varié : enfants, adolescents, adultes, en présentiel au centre et/ou en entreprise. Enseigner tous niveaux : A1 à C1/C2 . Participer aux événements organisés par le centre : Concours scolaires Formations d’enseignants de français Animations lecture Actions de promotion de la lecture et du livre francophone Se déplacer en entreprise ou lors d’interventions extérieures ponctuelles (Casablanca et environs).","https://www.emploi.ma/offre-emploi-maroc/enseignante-fle-tout-maroc-9120866"
28,"Responsable Laboratoire Contrôle (H/F)","COLORADO","Casablanca","Emploi.ma","03/01/2026","Nous sommes à la recherche d'un Responsable Laboratoire Contrôle (H/F). Rattaché(e) au Directeur des laboratoires, Vous serez en charge de superviser les contrôles des matières premières et des produits semi-finis et finis en vous assurant de satisfaire aux exigences de contrôle définies dans les instructions.","https://www.emploi.ma/offre-emploi-maroc/responsable-laboratoire-controle-hf-casablanca-9120773"
29,"Opérateur Machine Laser / Dessinateur AutoCAD","SOLU-PERFORMANCE","Tanger","Emploi.ma","03/01/2026","Pour le compte de notre client,nous recherchons un Opérateur Machine Laser motivé et polyvalent, capable non seulement de piloter la machine de découpe laser, mais aussi de préparer et dessiner les plans de découpe sur AutoCAD. Le candidat participera directement à la production de pièces métalliques sur mesure destinées à nos clients industriels. Missions principales Préparer et lancer les programmes de découpe sur machine laser. Lire et interpréter les plans techniques. Réaliser les dessins de découpe et d’assemblage sur AutoCAD (ou logiciel équivalent). Optimiser les imbrications et minimiser les chutes de tôle. Contrôler la qualité des pièces découpées. Assurer la maintenance de premier niveau de la...","https://www.emploi.ma/offre-emploi-maroc/operateur-machine-laser-dessinateur-autocad-tanger-9120737"
30,"Commercial en Télécom B to B","TECTRA CASA BOURGOGNE – RECRUTEMENT","Casablanca","Emploi.ma","03/01/2026","Pour l'un de ces clients opérant dans le secteur de la grande distribution , TECTRA recrute responsable Commercial en Télecom B to B. Missions principales Assure la vente des solutions télécom Inwi destinées aux entreprises. Assure le suivi commercial dans le but de développer le chiffre d’affaires : qualification de fichiers, détection des opportunités, suivi des dossiers clients, account management Garantit l’atteinte de ses objectifs quantitatifs et qualitatifs tels que définis par la structure. Informe son responsable de toute information ou proposition permettant d’apporter une amélioration. Assure un service de qualité correspondant aux objectifs fixés par le...","https://www.emploi.ma/offre-emploi-maroc/commercial-telecom-b-b-casablanca-9120599"
31,"Group Finance Manager H/F (Expatriation)","AFRICAWORK","South Sudan","Emploi.ma","03/01/2026","Introduction A diversified and fast-growing group of companies is seeking to recruit a highly experienced Group Finance Manager (GFM) . The successful candidate will oversee the entire finance function across multiple subsidiaries, ensuring financial integrity, compliance, and strategic alignment with the Group’s growth objectives. Porpose of the job The main purpose of this role is to plan, coordinate, and control the Group Finance function including ensuring that all assets and liabilities of the Group are properly accounted, reconciled and financial reports are properly consolidated in line with group policies and procedures.You shall be responsible for effective management of the Finance Function with a...","https://www.emploi.ma/offre-emploi-maroc/group-finance-manager-hf-expatriation-south-sudan-9120575"
32,"Magasinier","TECTRA","Agadir- Ait Melloul","Emploi.ma","03/01/2026","Nous sommes à la recherche des Magasiniers. Missions : Le magasinier sera chargé de : Réceptionner, contrôler et stocker les marchandises Préparer les commandes selon les besoins du service Assurer le suivi des entrées et sorties de stock Maintenir l’ordre et la propreté dans l’espace de stockage Participer à l’inventaire périodique","https://www.emploi.ma/offre-emploi-maroc/magasinier-agadir-ait-melloul-9120532"
33,"Magasinier Rangement","Non spécifié","Casablanca","Emploi.ma","03/01/2026","Nous recrutons des Magasiniers pour rejoindre notre équipe dynamique dans le cadre du rangement et de l’organisation des produits dans nos magasins à travers le Maroc. Missions principales : Réception et vérification des livraisons de produits. Rangement, classification et gestion des stocks dans le respect des procédures. Veiller à la bonne organisation des rayons, en veillant à la présentation et à la rotation des produits. Assurer la propreté et l’ordre des espaces de stockage. Gestion des inventaires périodiques. Collaborer avec les responsables de magasin pour optimiser l’espace de stockage.","https://www.emploi.ma/offre-emploi-maroc/magasinier-rangement-casablanca-9118779"
34,"Formateur en "" Prévention Santé et Sécurité au Travail ""","INSTITUT DE FORMATION AUX MÉTIERS DU BTP","Fès","Emploi.ma","03/01/2026","Nous sommes à la recherche d'un Formateur en "" Prévention Santé et Sécurité au Travail "". Missions principales : Former les stagiaires à l’identification des lois et règlements en matière de santé et sécurité au travail ; Développer la compétence des stagiaires à différencier les situations à risques et évaluer leurs conséquences ; Accompagner les stagiaires dans l’implantation de programmes de prévention incluant mesures collectives et individuelles ; Former à l’utilisation correcte des équipements de protection individuelle et collective (EPI/EPC) ; Former les stagiaires à intervenir efficacement en situation d’urgence et réaliser les gestes de premiers secours ;...","https://www.emploi.ma/offre-emploi-maroc/formateur-prevention-sante-securite-travail-fes-9123094"
35,"Formateur Vacataire ""Établir la feuille de débit d’un ouvrage en MAI""","INSTITUT DE FORMATION AUX MÉTIERS DU BTP","Fès","Emploi.ma","03/01/2026","Nous sommes à la recherche d'un Formateur Vacataire ""Établir la feuille de débit d’un ouvrage en MAI"". Missions principales : Accompagner les stagiaires dans l’acquisition des compétences techniques pour l’établissement de feuilles de débit précises dans le cadre de la fabrication d’ouvrages en aluminium et inox. Former les stagiaires à : Planifier le travail à réaliser, recueillir les informations utiles et déterminer les cotes de fabrication pour des ouvrages simples ; Identifier et distinguer les éléments constitutifs d’une fiche de débit et monter une fiche complète avec quantités, dimensions et références des pièces ; Optimiser les découpes pour minimiser les...","https://www.emploi.ma/offre-emploi-maroc/formateur-vacataire-etablir-feuille-debit-ouvrage-mai-fes-9123075"
36,"Formateur Vacataire en ""Effectuer des calculs topométriques""","INSTITUT DE FORMATION AUX MÉTIERS DU BTP","Fès","Emploi.ma","03/01/2026","Nous sommes à la recherche d'un Formateur Vacataire en ""Effectuer des calculs topométriques"". Missions principales : Accompagner les stagiaires dans l’acquisition des compétences techniques liées aux calculs topométriques à partir de relevés sur le terrain et de données topographiques. Former les stagiaires à : Analyser la précision angulaire d’une polygonale, déterminer l’erreur de fermeture et l’écart angulaire permis ; Calculer les directions, gisements et azimuts de chaque segment de polygonale ; Réaliser des calculs de compensation, déterminer les △X et △Y, répartir l’erreur et vérifier la cohérence des résultats ; Calculer les éléments de la polygonale...","https://www.emploi.ma/offre-emploi-maroc/formateur-vacataire-effectuer-calculs-topometriques-fes-9123073"
37,"Aide Technique / Gestion","TECTRA","Agadir","Emploi.ma","03/01/2026","Nous sommes à la recherche d’ Aides Techniques maîtrisant la GMAO (Gestion de la Maintenance Assistée par Ordinateur).","https://www.emploi.ma/offre-emploi-maroc/aide-technique-gestion-agadir-9028272"
38,"Contrôleur Qualité Agroalimentaire","TECTRA","Nouaceur","Emploi.ma","03/01/2026","Pour l’un de ses clients opérant dans la grande distribution , TECTRA recrute des Contrôleurs Qualité Agroalimentaire. Missions principales : mise en œuvre de la politique qualité ; mise en place du système qualité ; analyse et contrôle de qualités physique, chimique et biologique ; mesure, test et prélèvement d’échantillon ; contrôle de l’hygiène, de la propreté des sols, des installations et de la température ; interprétation et communication de résultats ; rédaction de normes de procédures qualité ; suivi des indicateurs qualité ;","https://www.emploi.ma/offre-emploi-maroc/controleur-qualite-agroalimentaire-nouaceur-9123263"
39,"Formateur Vacataire ""Gestion des Approvisionnements sur Chantier ""","INSTITUT DE FORMATION AUX MÉTIERS DU BTP","Fès","Emploi.ma","03/01/2026","Nous sommes à la recherche d'un Formateur Vacataire ""Gestion des Approvisionnements sur Chantier"". Le formateur aura pour mission d’accompagner les stagiaires dans l’acquisition des compétences suivantes : Analyser la commande : identifier les différents types de commandes, leurs composantes et les coûts associés. Analyser l’état de stock : distinguer les niveaux de stock, appliquer les techniques de gestion d’approvisionnement, calculer la rotation et la durée de stockage. Planifier l’approvisionnement : appliquer les méthodes de calcul d’optimisation des stocks, chiffrer les coûts de passation et de possession, utiliser un logiciel de gestion de stock....","https://www.emploi.ma/offre-emploi-maroc/formateur-vacataire-gestion-approvisionnements-sur-chantier-fes-9123090"
40,"Formateur Vacataire en ""Établir les Cartes et Plans Topographiques ""","INSTITUT DE FORMATION AUX MÉTIERS DU BTP","Fès","Emploi.ma","03/01/2026","Nous sommes à la recherche d'un Formateur Vacataire en ""Établir les Cartes et Plans Topographiques "". Missions principales : Former les stagiaires à l’exploitation des données géodésiques et à l’analyse de cartes et plans topographiques. Accompagner les stagiaires dans la production de cartes et plans topographiques fiables, précis et conformes aux standards du SIG (Systèmes d’Information Géographique). Développer les compétences suivantes : Identifier les formes et caractéristiques de la Terre, relever les bases élémentaires de géodésie et définir des systèmes de référence et de coordonnées ; Reconnaître et analyser différents types de cartes et plans topographiques, en relevé...","https://www.emploi.ma/offre-emploi-maroc/formateur-vacataire-etablir-cartes-plans-topographiques-fes-9123078"
41,"Formateur Vac ""Contrôler la conformité des matériaux de construction""","INSTITUT DE FORMATION AUX MÉTIERS DU BTP","Fès","Emploi.ma","03/01/2026","Nous sommes à la recherche d'un Formateur Vac ""Contrôler la conformité des matériaux de construction"". Missions principales : Accompagner les stagiaires dans l’acquisition des compétences techniques liées au contrôle de conformité des matériaux de construction sur projets de bâtiments, routiers et ouvrages d’art. Former les stagiaires à : Planifier et préparer les essais de contrôle de conformité avant, pendant et après les travaux ; Réaliser des essais sur béton frais et durci, granulats, ciment, adjuvants, produits manufacturés et matériaux du second œuvre ; Effectuer des essais sur projets routiers (portance, granulats, liants hydrocarbonés, ouvrages annexes) ; Contrôler les...","https://www.emploi.ma/offre-emploi-maroc/formateur-vac-controler-conformite-materiaux-construction-fes-9123071"
42,"Formateur Vacataire ""Conduire des opérations de levés topographiques""","INSTITUT DE FORMATION AUX MÉTIERS DU BTP","Fès","Emploi.ma","03/01/2026","Nous sommes à la recherche d'un Formateur Vacataire ""Conduire des opérations de levés topographiques"". Missions principales : Accompagner les stagiaires dans l’acquisition des compétences techniques liées à la réalisation des levés topographiques , à la maîtrise des instruments de mesure (GPS, station totale, etc.) et à la production de plans et données topographiques fiables . Former les stagiaires à : Établir un système de coordonnées et interpréter les données géodésiques ; Préparer les opérations de levés topographiques et configurer les instruments ; Effectuer la mise en station, la prise de mesures, et les vérifications de précision ; Calculer les coordonnées et transférer...","https://www.emploi.ma/offre-emploi-maroc/formateur-vacataire-conduire-operations-leves-topographiques-fes-9123070"
43,"Formateur Vacataire en ""Communiquer en milieu professionnel""","INSTITUT DE FORMATION AUX MÉTIERS DU BTP","Fès","Emploi.ma","03/01/2026","Nous sommes à la recherche d'un Formateur Vacataire en ""Communiquer en milieu professionnel"". Missions principales : Accompagner les stagiaires dans le développement de compétences de communication interpersonnelle, écrite et orale , appliquées au milieu professionnel, notamment dans le secteur du BTP . Former les stagiaires à : Identifier les composantes et le processus de communication en contexte professionnel ; Utiliser efficacement les techniques et outils de communication (orale, écrite, non verbale et numérique) ; Animer et collaborer au sein de groupes de travail et conduire des réunions ; Rédiger des écrits professionnels (comptes rendus, rapports, procès-verbaux, notes,...","https://www.emploi.ma/offre-emploi-maroc/formateur-vacataire-communiquer-milieu-professionnel-fes-9123063"
44,"Formateur Vac Assurer une Gestion Numérique des Opérations","INSTITUT DE FORMATION AUX MÉTIERS DU BTP","Fès","Emploi.ma","03/01/2026","Nous sommes à la recherche d'un Formateur Vac Assurer une Gestion Numérique des Opérations. Missions principales : Accompagner les stagiaires dans le développement des compétences suivantes : Analyser le cahier des charges du projet et décrire l’organisation du chantier ; Planifier le contrôle du volume des travaux et définir les points et méthodes de contrôle ; Effectuer les visites de suivi de chantier et établir les comptes rendus de réunion ; Analyser les états d’avancement et identifier les écarts ou dysfonctionnements ; Proposer des solutions aux problèmes de chantier et rédiger des rapports techniques de suivi.","https://www.emploi.ma/offre-emploi-maroc/formateur-vac-assurer-gestion-numerique-operations-fes-9123058"
45,"Formateur Vacataire en Assurer le Suivi du Chantier","INSTITUT DE FORMATION AUX MÉTIERS DU BTP","Fès","Emploi.ma","03/01/2026","Nous sommes à la recherche d'un Formateur Vacataire en Assurer le Suivi du Chantier. Missions principales : Accompagner les stagiaires dans le développement des compétences suivantes : Analyser le cahier des charges du projet et décrire l’organisation du chantier ; Planifier le contrôle du volume des travaux et définir les points et méthodes de contrôle ; Effectuer les visites de suivi de chantier et établir les comptes rendus de réunion ; Analyser les états d’avancement et identifier les écarts ou dysfonctionnements ; Proposer des solutions aux problèmes de chantier et rédiger des rapports techniques de suivi.","https://www.emploi.ma/offre-emploi-maroc/formateur-vacataire-assurer-suivi-chantier-fes-9123052"
