title_clean,company_clean,location_clean,desc_length,word_count,is_remote,has_contract_info,has_experience_info,has_education_info,has_salary_info,balanced_category
ingénieur fluide,vinci energies afrique de l'ouest,sala al jadida (maroc),372,58,0,0,0,1,0,INGENIERIE
responsable finition - peinture & enduit (h/f),eni group,casablanca,344,46,0,0,0,1,0,MANAGEMENT
vendeur - développeur,centrale danone,tout le maroc (maroc),375,57,0,0,0,1,0,IT_DEVELOPPEMENT
mechanical design engineer,capgemini engineering,casablanca,359,44,0,0,0,1,0,AUTRE
gestionnaire rh / paie,groupe vilavi,tanger,315,49,0,0,0,1,0,RESSOURCES_HUMAINES
chargé(e) de paie sénior (expérimenté sur sage),concentrix,rabat,357,54,0,0,1,1,0,AUTRE
approvisionneur,groupe label'vie - carrefour,skhirat (maroc),391,52,0,0,0,1,0,AUTRE
demand planner,groupe label'vie - carrefour,skhirat (maroc),372,56,0,0,0,1,0,AUTRE
finance business partner,groupe label'vie - carrefour,skhirat (maroc),426,58,0,0,0,1,0,AUTRE
conseillers en émission d'appels pour un opérateur téléphonique,foundever (ex sitel group),casablanca,354,55,0,0,0,1,0,PRODUCTION_INDUSTRIE
ingénieur conception mécanique,capgemini engineering,casablanca,358,54,0,0,0,1,0,INGENIERIE
chargé(e) de programme - h/f,université internationale de rabat (uir),salé,515,69,0,0,0,1,0,AUTRE
responsable approvisionnement,groupe label'vie - carrefour,skhirat (maroc),398,54,0,0,0,1,0,MANAGEMENT
actuaire junior,branche epargne-prévoyance-cdg prévoyance,rabat,407,57,0,0,1,1,0,AUTRE
gestionnaire paie,orh assessment,casablanca,344,52,0,0,0,1,0,AUTRE
sirh specialist,groupe label'vie - carrefour,skhirat (maroc),331,50,0,0,0,1,0,RESSOURCES_HUMAINES
responsable achats et marchés publics (h/f),orh assessment,casablanca,400,55,0,0,0,1,0,MANAGEMENT
sms administrator,air arabia,casablanca,509,79,0,0,0,1,0,AUTRE
manager commercial,menara holding,marrakech,349,47,0,0,0,1,0,COMMERCIAL_VENTE
gérant de station-service,non spécifié,errachidia - erfoud (maroc),376,56,0,0,0,1,0,AUTRE
responsable recrutement (h/f),non spécifié,casablanca,429,54,0,0,0,1,0,MANAGEMENT
"responsable achat , approvisionnement & stock",crit,casablanca,416,52,0,0,1,1,0,MANAGEMENT
commis de rang – tanger,manpower agences,tanger,336,52,0,0,0,0,0,AUTRE
commercial b2b,non spécifié,oujda (maroc),376,53,0,0,1,0,0,COMMERCIAL_VENTE
responsable logistique + suivi client (h/f),crit,casablanca,355,47,0,0,0,1,0,LOGISTIQUE_TRANSPORT
klantendienstmedewerker – leider in belgische telecommunicatie,foundever (ex sitel group),rabat,448,50,0,0,0,0,0,AUTRE
"jobaanbieding: customer support representative – logistics (nederlands sprekend, 100% remote)",foundever (ex sitel group),casablanca,382,51,1,0,0,0,0,AUTRE
remote qa-analist – logistiek,foundever (ex sitel group),casablanca,374,48,1,0,0,0,0,AUTRE
cabin crew - relocation to dubai,emirates airlines,dubai (émirats arabes unis),374,54,0,0,0,0,1,AUTRE
gestionnaire sinistre assurance h/f,non spécifié,meknès (maroc),341,44,0,0,0,1,0,AUTRE
technicien supérieur sav,professional labo,casablanca,395,47,0,0,1,1,0,PRODUCTION_INDUSTRIE
agent de trésorerie / chargé(e) de règlements fournisseurs,non spécifié,casablanca,335,45,0,0,0,1,0,AUTRE
standardiste expérimentée,non spécifié,casablanca,342,44,0,0,1,1,0,AUTRE
stagiaire pré-embauche_consultant technico-fonctionnel microsoft dynamics 365 crm & power platform,inetum,casablanca,381,50,0,1,0,1,0,AUTRE
contrôleur de gestion (h/f),bcp tech,casablanca,445,60,0,0,0,1,0,COMPTABILITE_FINANCE
analyste sécurité des application et projets (h/f) salé technopolis,axa services maroc,rabat,398,61,0,0,0,1,0,AUTRE
chef d'agence ain atiq,fondation arrawaj,ain atiq (maroc),380,56,0,0,0,0,0,AUTRE
chargé(e) adv,figeac aero maroc,nouaceur (maroc),289,39,0,0,0,1,0,AUTRE
chef d'agence guelmim,fondation arrawaj,guelmim (maroc),362,53,0,0,0,0,0,AUTRE
responsable système de management de la qualité & qualité projets,structural aerospace morocco (aviagroup),nouaceur (maroc),370,50,0,0,0,1,0,MANAGEMENT
coordinateur(ice) expérience client lsm,mcdonald's maroc,casablanca,429,56,0,0,0,1,0,AUTRE
agent helpdesk (h/f),groupe label'vie - carrefour,skhirat (maroc),388,52,0,0,0,1,0,AUTRE
technicien spécialisé en eléctroménager,vinci energies afrique de l'ouest,sala al jadida (maroc),361,46,0,0,0,1,0,PRODUCTION_INDUSTRIE
superviseur en génie civil/second oeuvre,vinci energies afrique de l'ouest,sala al jadida (maroc),412,65,0,0,0,1,0,AUTRE
technicien génie civil/second oeuvre,vinci energies afrique de l'ouest,sala al jadida (maroc),372,54,0,0,0,1,0,PRODUCTION_INDUSTRIE
superviseur hvac,vinci energies afrique de l'ouest,sala al jadida (maroc),395,61,0,0,0,1,0,AUTRE
office manager expérimenté (e),non spécifié,casablanca,389,48,0,0,1,0,0,MANAGEMENT
technicien hvac,vinci energies afrique de l'ouest,sala al jadida (maroc),432,62,0,0,1,1,0,PRODUCTION_INDUSTRIE
superviseur cfa/cfo,vinci energies afrique de l'ouest,sala al jadida (maroc),380,54,0,0,0,1,0,AUTRE
technicien cfo/cfa,vinci energies afrique de l'ouest,salé,441,61,0,0,0,1,0,PRODUCTION_INDUSTRIE
chef d'agence,fondation arrawaj,recrutement à l’échelle nationale (maroc),380,49,0,0,0,0,0,AUTRE
bilingual sales representatives french/english,cnexia,casablanca,422,54,0,0,0,0,0,COMMERCIAL_VENTE
téléconseiller h/f - prise de rendez-vous btob,eca assurances,casablanca,443,61,0,0,0,0,0,AUTRE
commerciaux en assurance santé – émission d’appels,eca assurances,casablanca,328,43,0,0,0,0,0,AUTRE
admissions & outreach officer,al akhawayn university,ifrance (maroc),451,66,0,0,0,1,0,AUTRE
manager h/f,mcdonald's maroc,casablanca,377,55,0,0,0,1,0,MANAGEMENT
manager h/f,mcdonald's maroc,marrakech,421,60,0,0,0,1,0,MANAGEMENT
remote qa-analist – logistiek,foundever (ex sitel group),casablanca,300,37,0,0,0,0,0,AUTRE
klantendienstmedewerker – leider in belgische telecommunicatie,foundever (ex sitel group),rabat,370,39,0,0,0,0,0,AUTRE
"jobaanbieding: customer support representative – logistics (nederlands sprekend, 100% remote)",foundever (ex sitel group),casablanca,360,49,1,0,0,0,0,AUTRE
cadre communication,madaef,rabat,459,57,0,0,0,0,1,AUTRE
assistant(e) administratif(ve) h/f,université internationale de rabat (uir),rabat,401,48,0,0,0,1,0,ADMINISTRATIF
stagiaire qhse,université internationale de rabat (uir),rabat,392,51,0,0,0,1,0,AUTRE
responsable achats h/f,université internationale de rabat (uir),rabat,382,49,0,0,1,1,0,MANAGEMENT
stage - logistique,attijari payment processing,casablanca,304,36,0,1,0,1,0,LOGISTIQUE_TRANSPORT
senior web developer,cnexia tech,sala al jadida (maroc),492,63,0,0,1,0,0,IT_DEVELOPPEMENT
senior software developer,cnexia tech,sala al jadida (maroc),377,51,0,0,1,1,0,IT_DEVELOPPEMENT
juriste junior (f/h),sfm,casablanca,297,44,0,0,1,1,0,AUTRE
chargé(e) administration rh & paie,africa staffing,casablanca,339,48,0,0,0,1,0,RESSOURCES_HUMAINES
quality assurance analyst intermediate,cnexia tech,sala al jadida (maroc),416,53,0,0,0,0,0,AUTRE
magasinier industriel,eni group,mediouna (maroc),373,58,0,0,0,1,0,AUTRE
conseiller client (f/h) - service client - français,foundever (ex sitel group),rabat,399,55,0,1,0,0,1,AUTRE
conseillers en réception d'appels pour un projet télco,foundever (ex sitel group),rabat,345,48,0,1,0,0,0,AUTRE
délégué régional et responsable commercial (h/f),non spécifié,agadir,429,58,0,0,0,1,0,COMMERCIAL_VENTE
chef de ligne polyester / moules polyester,eni group,mediouna (maroc),428,60,0,0,0,1,0,MANAGEMENT
technicien maintenance - électromécanicien,lesieur cristal,casablanca,361,44,0,0,0,0,0,PRODUCTION_INDUSTRIE
acheteuse / approvisionneuse industrielle (h/f),eni group,mediouna (maroc),350,45,0,0,0,1,0,AUTRE
technicien qualifié / chef de chantier,eni group,mediouna (maroc),365,56,0,0,0,1,0,PRODUCTION_INDUSTRIE
réceptionniste,eni group,salé,404,54,0,0,0,1,0,AUTRE
gestionnaire rh polyvalent(e),eni group,casablanca,374,53,0,0,0,1,0,RESSOURCES_HUMAINES
contrôleur qualité / qualiticien – préfa façade grc,eni group,mediouna (maroc),328,51,0,0,0,1,0,AUTRE
chargé d'affaires réglementaires h/f,locamed,rabat,418,54,0,0,0,1,0,AUTRE
concepteur développeur python / ansible (h/ f),non spécifié,rabat,360,54,0,0,0,1,0,IT_DEVELOPPEMENT
commerciaux on-line h/f,groupe addoha,casablanca,337,43,0,0,0,1,0,AUTRE
conseiller commercial,groupe addoha,fès,366,48,0,0,0,0,0,COMMERCIAL_VENTE
assistante dg,obk technologies auditec,casablanca,419,56,0,0,0,1,0,ADMINISTRATIF
chargé(e) s de conduite d'activité francophones / installation ftth,genius services,casablanca,316,43,0,0,0,1,0,AUTRE
chargé(e) de recrutement junior,eni group,casablanca,349,46,0,0,1,1,0,AUTRE
aide laboratoire 4mois (roche noire),manpower agences,casablanca,357,52,0,0,0,1,0,AUTRE
ingénieur développement en .net expérimenté (e) parfaitement francophone,genius services,casablanca,391,53,0,0,1,1,0,INGENIERIE
chargé(e) administratif(ve) - fès,cnexia,fès,386,55,0,0,0,1,0,ADMINISTRATIF
dispatcheur / coordinateur sinistres,non spécifié,casablanca,342,45,0,0,1,1,0,AUTRE
animateur hse,eni group,berrchid (maroc),392,53,0,0,0,1,0,AUTRE
conseillers en assurance francophones – service fidélisation (réception d’appels) – cdi à rabat,foundever (ex sitel group),rabat,401,57,0,1,1,0,0,AUTRE
ingénieur qualité assurance,capgemini engineering,casablanca,459,63,0,0,0,1,0,INGENIERIE
sénior ingénieur assurance & qualité,capgemini engineering,casablanca,498,65,0,0,1,1,0,INGENIERIE
klantendienstmedewerker – leider in belgische telecommunicatie,foundever (ex sitel group),rabat,357,36,0,0,0,0,0,AUTRE
"jobaanbieding: customer support representative – logistics (nederlands sprekend, 100% remote)",foundever (ex sitel group),casablanca,371,49,1,0,0,0,0,AUTRE
remote qa-analist – logistiek,foundever (ex sitel group),casablanca,360,45,1,0,0,0,0,AUTRE
hr coordinator dynamique,groupe label'vie - carrefour,rabat,402,55,0,0,1,1,0,AUTRE
chargé (e) de prospection commerciale (h/f),sorec,rabat,382,55,0,0,0,1,0,COMMERCIAL_VENTE
chef de mission comptable (h/f),moore casablanca,casablanca,457,63,0,0,1,0,0,COMPTABILITE_FINANCE
agent constateur,non spécifié,casablanca,252,32,0,0,0,1,0,AUTRE
gestionnaire paie et administration du personnel,btechnologie,rabat,467,74,0,0,0,1,0,AUTRE
contrôleur de gestion junior (f/h),sofrecom maroc,rabat,345,50,0,0,1,0,0,COMPTABILITE_FINANCE
chargé(e) de missions - direction générale,non spécifié,casablanca,421,57,0,0,0,1,0,AUTRE
téléconseiller(e)s,attijariwafa bank,casablanca,404,54,0,0,1,1,0,AUTRE
stagiaire comptable fournisseurs (h/f) en cdd.,foundever (ex sitel group),casablanca,334,49,0,1,0,0,0,COMPTABILITE_FINANCE
ingénieur(e) mécanique / maintenance,domino hr morocco,kenitra,378,50,0,1,0,1,0,PRODUCTION_INDUSTRIE
talent acquisition officer,akkodis maroc,tanger,398,55,0,0,1,0,0,RESSOURCES_HUMAINES
office manager (bilingue-fr/eng),marketing call center,rabat,455,59,0,0,0,0,0,MANAGEMENT
"ingénieur endpoint infra (run, mro, sécurité, projet)",dxc - cdg,casablanca,464,59,0,0,0,0,0,INGENIERIE
"ingénieur endpoint mobile (mdm intune, sécurité, projets)",dxc - cdg,casablanca,386,53,0,0,0,0,0,INGENIERIE
"ingénieur endpoint windows (run, mro, sécurité, projets)",dxc - cdg,casablanca,444,62,0,0,0,0,0,INGENIERIE
ingénieur package expert (psadt + app-v),dxc - cdg,casablanca,484,69,0,0,0,0,0,INGENIERIE
project manager ci/cd (endpoint),dxc - cdg,casablanca,434,62,0,0,0,0,0,MANAGEMENT
chargé d'appel d'offre à bouskoura,crit,casablanca,368,52,0,0,0,1,0,AUTRE
responsable des ressources humaines (h/f),non spécifié,casablanca,374,53,0,0,1,1,0,RESSOURCES_HUMAINES
java software full stack senior,manpower agences,casablanca,440,64,0,0,1,0,0,IT_DEVELOPPEMENT
manager h/f,mcdonald's maroc,agadir,357,51,0,0,0,1,0,MANAGEMENT
animateur commerciale (h-f),sorec,el jadida (maroc),442,64,0,0,0,1,0,COMMERCIAL_VENTE
agent technique & actifs spécialisé en climatisation et froid,groupe label'vie - carrefour,salé,337,43,0,0,0,1,0,AUTRE
télévendeur(se) énergie btoc,adm value,leads + prospection (appels entrants/sortants) – cdi + prime déplafonnée,405,56,0,1,0,0,0,COMMERCIAL_VENTE
téléconseiller recouvrement btoc,adm value,cdi + prime déplafonnée,383,51,0,1,1,0,1,AUTRE
conseiller(ère) client e-commerce (appels + e-mails),adm value,cdi – formation rémunérée,355,48,0,1,0,0,0,AUTRE
conseiller commercial télécom (prospection),adm value,cdi + formation rémunérée,426,60,0,1,0,0,0,COMMERCIAL_VENTE
conseiller service client énergie,adm value,réception d’appels – cdi (lun–ven),385,56,0,1,0,0,0,AUTRE
chargé(e) de clientèle btob recouvrement (énergie),adm value,cdi + primes déplafonnées,470,63,0,0,0,0,0,AUTRE
offre de stage,richbond,casablanca,361,47,0,0,0,1,0,AUTRE
télévendeur assurance emprunteur,adm value,appels entrants/sortants – cdi + primes déplafonnées,376,47,0,1,1,0,1,COMMERCIAL_VENTE
bilingual customer service representative (french-english),telus digital,casablanca,465,60,0,0,0,0,0,AUTRE
bilingual banking customer support agent (french & english),telus digital,casablanca,402,57,0,0,0,0,0,AUTRE
conseillers commerciaux en énergie,adm value,cdi + primes déplafonnées,313,45,0,1,0,0,0,AUTRE
facilities analyst,telus digital,casablanca,494,62,0,0,0,1,0,AUTRE
conseiller(ère) client en assurance santé & prévoyance,adm value,cdi + primes déplafonnées,448,64,0,1,0,0,0,AUTRE
responsable prospection,groupe label'vie - carrefour,fès,373,53,0,0,0,1,0,MANAGEMENT
rabat – conseiller(ère) commercial(e) en énergie,adm value,comparateur d’offres – 5j/7 + prime de fidélisation,354,48,0,1,0,0,0,COMMERCIAL_VENTE
chargé(e) de clientèle francophone – réception,foundever (ex sitel group),cdi,390,54,0,1,0,0,0,AUTRE
chargés de clientèle francophones – service fidélisation (réception d’appels) – cdi à rabat,foundever (ex sitel group),rabat,365,48,0,1,0,0,0,AUTRE
rabat – conseiller·ère service client,adm value,assurance animale – cdi (week-end off),429,65,0,1,0,0,0,AUTRE
télévendeur btoc énergie (prospection),adm value,cdi + primes déplafonnées,393,51,0,1,0,0,0,COMMERCIAL_VENTE
commercial en assurance auto,adm value,appels entrants/sortants – cdi,297,43,0,1,0,0,0,COMMERCIAL_VENTE
chargé(e) de clientèle btob (énergie),adm value,réception appels & e-mails – cdi,370,54,0,1,0,0,0,AUTRE
télévendeur btob énergie (prospection) — cdi — week-ends off,adm value,rabat,365,53,0,1,0,0,0,COMMERCIAL_VENTE
attaché juridique (f/h),non spécifié,meknès (maroc),331,52,0,0,0,1,0,AUTRE
stage pfe – technique et maintenance,groupe label'vie - carrefour,casablanca,481,65,0,1,0,1,0,PRODUCTION_INDUSTRIE
chef de projet télécom,sofrecom maroc,technopolis - îles mayotte (maroc),415,58,0,0,0,0,0,MANAGEMENT
gestionnaire clientèle (h/f) - assilah / ksar sghir / ksar el kbir,attijariwafa bank,tanger,344,47,0,0,0,1,0,AUTRE
gestionnaire clientèle (h/f) - tanger,attijariwafa bank,tanger,305,40,0,0,0,1,0,AUTRE
validateur conformité des ventes (h/f) pour le lancement d’une nouvelle activité sur notre site à yacoub el mansour.,foundever (ex sitel group),casablanca,419,60,0,0,0,0,0,AUTRE
nous recrutons un real time analyst (h/f) pour le lancement d’une nouvelle activité sur notre site à casacity.,foundever (ex sitel group),casablanca,371,51,0,0,0,0,0,AUTRE
