title_clean,company_clean,location_clean,description_clean,desc_length,title_length,word_count,source,link
responsable qualité,groupe label''vie - carrefour,casablanca (maroc),"catégorie: 
groupe labelvie recherche un responsable qualité expérimenté pour piloter le système de management de la qualité et diriger une équipe dédiée. vos missions incluront la supervision des audits, la gestion des produits non conformes, et la promotion de la culture qualité. vous devez posséder un bac+5, au moins 5 ans d''expérience dans un rôle similaire, et une solide maîtrise des normes de qualité et du management.",442,20,67,Rekrute,https://www.rekrute.com/offre-emploi-responsable-qualite-recrutement-groupe-labelvie---carrefour-casablanca-178486.html
responsable d''affaires (h/f),vinci energies afrique de l''ouest,casablanca (maroc),"catégorie: 
rejoignez vinci energies afrique de l''ouest en tant que responsable d''affaires industrie senior (h/f) pour gérer des projets techniques et commerciaux complexes. vous serez responsable de la gestion complète des projets, du développement client et de la coordination d''équipes, avec au moins 8 ans d''expérience requise en électricité, électromécanique ou automatisme. postulez si vous êtes un leader orienté résultats avec d''excellentes compétences commerciales et relationnelles.",506,28,66,Rekrute,https://www.rekrute.com/offre-emploi-responsable-daffaires-hf-recrutement-vinci-energies-afrique-de-louest-casablanca-178485.html
chargés de clientèle bilingue (francais/anglais),atlas online,casablanca (maroc),"catégorie: 
atlas on line recrute des chargés de clientèle bilingues (français/anglais) pour le secteur du transport aérien. vos missions incluront l''accueil, le conseil client, le traitement des demandes, et la réalisation d''objectifs de vente. un bac +2 minimum, une maîtrise parfaite du français et de l''anglais, ainsi qu''un excellent relationnel sont requis.",370,50,52,Rekrute,https://www.rekrute.com/offre-emploi-charges-de-clientele-bilingue-francaisanglais-recrutement-atlas-online-casablanca-178239.html
responsable administratif et financier h/f,atlas online,casablanca (maroc),"catégorie: 
atlas on line recherche un responsable administratif et financier expérimenté (bac+5, 5 ans minimum) pour superviser la gestion comptable, financière et budgétaire. le poste implique l''élaboration des budgets, la préparation des rapports financiers, la gestion des audits, et l''encadrement d''une équipe. une excellente maîtrise du français est indispensable, l''anglais est un atout.",404,42,53,Rekrute,https://www.rekrute.com/offre-emploi-responsable-administratif-et-financier-hf-recrutement-atlas-online-casablanca-176878.html
administration des ventes -adv- (h/f),non spécifié,casablanca (maroc),"catégorie: lancer 4k
rejoignez notre grand groupe de distribution à casablanca en tant qu''administrateur des ventes (h/f). vous gérerez la relation client, les commandes, le stock et les factures. profil recherché : bac+3 minimum, 3 ans d''expérience en distribution, maîtrise des outils informatiques, et rigueur.",319,37,44,Rekrute,https://www.rekrute.com/offre-emploi-administration-des-ventes--adv--hf-recrutement-confidentiel-casablanca-178484.html
service client,ms smart electro,casablanca (maroc),"catégorie: 
electro salam recherche un(e) chargé(e) de service client pour gérer les demandes clients sur tous les canaux, traiter les réclamations et assurer le suivi des commandes. le poste exige une expérience d''un an minimum en service client, d''excellentes compétences en communication, de la rigueur et une maîtrise des outils digitaux.",349,14,51,Rekrute,https://www.rekrute.com/offre-emploi-service-client-recrutement-ms-smart-electro-casablanca-178365.html
magasinier (longometal armatures),sonasid,berrechid (maroc),"catégorie: 
longometal armatures recherche un magasinier pdr & consommables à berrechid. vos missions incluent la gestion des stocks, la garantie de la disponibilité des pièces et le respect des normes sst. vous avez un bac +2 en logistique, 3 ans d''expérience similaire, maîtrisez la gestion de stock et les outils bureautiques/erp (sap).",345,33,52,Rekrute,https://www.rekrute.com/offre-emploi-magasinier-longometal-armatures-recrutement-sonasid-berrechid-178483.html
chef d''équipe (longometal armatures),sonasid,berrechid (maroc),"catégorie: 
longometal armatures (berrechid) recherche un chef d''équipe pour superviser la production, encadrer une équipe et garantir l''atteinte des objectifs de qualité et de délais. vous avez un bac +2 minimum en production/génie industriel, 2 ans d''expérience, et de solides compétences managériales. poste axé sur le leadership, l''organisation et le respect des normes.",384,37,53,Rekrute,https://www.rekrute.com/offre-emploi-chef-dequipe-longometal-armatures-recrutement-sonasid-berrechid-178482.html
acheteur (longometal armatures),sonasid,berrechid (maroc),"catégorie: 
acheteur h/f recherché pour longometal armatures à berrechid. vos missions incluront la consultation, l''analyse des offres, la négociation, et la gestion des commandes et des litiges. un bac +2/3 en achats avec 2 ans d''expérience, la maîtrise de sap et de solides compétences en négociation sont requis.",323,31,48,Rekrute,https://www.rekrute.com/offre-emploi-acheteur-longometal-armatures-recrutement-sonasid-berrechid-178481.html
développeur fullstack php symfony - expert,btechnologie,rabat (maroc),"catégorie: 
expert fullstack php symfony recherché à rabat pour rejoindre une équipe scrum. vous développerez de nouvelles fonctionnalités back-end et front-end, participerez aux tests automatisés et au support utilisateurs. un bac+5, une maîtrise de php/symfony, vuejs et des bases de données sql sont requis, ainsi qu''une aisance relationnelle.",355,43,48,Rekrute,https://www.rekrute.com/offre-emploi-developpeur-fullstack-php-symfony---expert-recrutement-btechnologie-rabat-178480.html
technicien méthodes,richbond,casablanca (maroc),"catégorie: 
le groupe richbond recrute un technicien méthodes pour établir les instructions de fabrication, analyser et perfectionner les processus, et assurer le chiffrage. vous justifiez d''un bac+2/3 et d''une expérience de 3 ans minimum dans un poste similaire, idéalement dans les industries de l''habillement, de l''ameublement ou de la menuiserie.",355,20,50,Rekrute,https://www.rekrute.com/offre-emploi-technicien-methodes-recrutement-richbond-casablanca-178479.html
analyste risque compliance,sofrecom maroc,technopolis (maroc),"catégorie: 
sofrecom recherche un analyste risque compliance à casablanca. vous réaliserez des due diligences approfondies pour identifier et prévenir les risques potentiels, en analysant les partenaires, clients et tiers. un diplôme bac+3/bac+5 en droit, finance ou gestion des risques et une bonne connaissance des réglementations sont requis.",351,26,47,Rekrute,https://www.rekrute.com/offre-emploi-analyste-risque-compliance-recrutement-sofrecom-maroc-technopolis-178478.html
agent de maintenance mécanicien,non spécifié,meknès (maroc),"catégorie: lancer 4k
groupe national recherche un agent de maintenance mécanicien pour intervenir sur des équipements industriels. vos missions incluront la maintenance préventive/curative, le diagnostic de pannes et la participation à l''amélioration continue. profil recherché : formation en mécanique/maintenance et compétences en hydraulique/pneumatique.",366,32,42,Rekrute,https://www.rekrute.com/offre-emploi-agent-de-maintenance-mecanicien-recrutement-confidentiel-meknes-177185.html
comptable - marrakech,non spécifié,marrakech (maroc),"catégorie: lancer 4k
comptable (h/f) recherché à marrakech pour une société de promotion immobilière. vos missions incluront la gestion des pièces comptables, le suivi des paiements fournisseurs, la trésorerie et la gestion des stocks. profil avec bac+2/3 en comptabilité, 2 ans d''expérience minimum, et maîtrise d''excel.",332,21,45,Rekrute,https://www.rekrute.com/offre-emploi-comptable---marrakech-recrutement-confidentiel-marrakech-178477.html
développeur dynatrace engineer,alten maroc,rabat (maroc),"catégorie: 
alten maroc recherche un développeur dynatrace engineer pour créer et gérer des tableaux de bord et des alertes en temps réel. le candidat idéal possède un bac+5 en informatique, 3 à 5 ans d''expérience avec dynatrace, grafana, et une bonne maîtrise de l''anglais (b2). rejoignez une entreprise d''ingénierie et de conseil technologique en pleine croissance.",378,31,56,Rekrute,https://www.rekrute.com/offre-emploi-developpeur-dynatrace-engineer-recrutement-alten-maroc-rabat-178476.html
infirmier(e) du travail,non spécifié,casablanca (maroc),"catégorie: lancer 4k
infirmier(e) du travail recherché par une filiale d''une société française pour assurer la gestion du service médical, participer aux visites et consultations, et mener des actions de prévention. le poste requiert un diplôme d''infirmier, une maîtrise des outils informatiques, et une première expérience en tant qu''infirmier(e) du travail. excellente organisation, discrétion et bon relationnel sont essentiels.",443,23,58,Rekrute,https://www.rekrute.com/offre-emploi-infirmiere-du-travail-recrutement-confidentiel-casablanca-178475.html
chargé de recrutement sur el jadida - f/h,wow7h24,el jadida (maroc),"catégorie: 
wow7h24 recherche un chargé de recrutement (h/f) à el jadida. vos missions incluront la rédaction et diffusion d''annonces, le sourcing de candidats, la conduite d''entretiens et la mise à jour des outils de suivi. profil bac+2 rh avec min. 2 ans d''expérience en recrutement, maîtrisant les techniques de sourcing et d''entretien.",346,42,52,Rekrute,https://www.rekrute.com/offre-emploi-charge-de-recrutement-sur-el-jadida---fh-recrutement-wow7h24-el-jadida-178474.html
responsable logistique de stock (h/f),manpower agences,"agadir, souss-massa, morocco (maroc)","catégorie: 
manpower recrute un(e) responsable logistique de stock expérimenté(e) (minimum 3 ans). vous gérerez les flux de stock, assurerez la fiabilité des inventaires et optimiserez l''organisation de l''entrepôt. formation bac+3 à bac+5 en logistique/supply chain et maîtrise des outils de gestion de stock sont requises.",331,37,45,Rekrute,https://www.rekrute.com/offre-emploi-responsable-logistique-de-stock-hf-recrutement-manpower-agences-agadir-souss-massa-morocco-178473.html
stagiaire en recrutement,manpower agences,casablanca (maroc),"catégorie: 
manpowergroup maroc recrute un stagiaire en recrutement (bac+3/5 rh). vos missions incluront le sourcing, la sélection de candidats et la participation aux entretiens. une formation complète et une rémunération sont prévues pour ce stage axé sur la gestion des rh et la relation client.",305,24,45,Rekrute,https://www.rekrute.com/offre-emploi-stagiaire-en-recrutement-recrutement-manpower-agences-casablanca-178472.html
chaudronnier,non spécifié,meknès (maroc),"catégorie: lancer 4k
chaudronnier recherché pour un groupe industriel national au maroc. vos missions incluront la fabrication, l''assemblage et la maintenance de structures métalliques. profil avec dts en construction métallique et 5 à 10 ans d''expérience requis, doté d''un esprit d''équipe et rigoureux.",311,12,42,Rekrute,https://www.rekrute.com/offre-emploi-chaudronnier-recrutement-confidentiel-meknes-178471.html
commerciale & réservations (femme),manpower agences,tanger (maroc),"catégorie: 
manpower group recrute une commerciale & réservations (femme) pour développer et gérer un portefeuille clients, assurer la prospection et le suivi des contrats, et gérer les réservations. le poste exige une expérience confirmée en hôtellerie, un excellent sens commercial, la maîtrise du français et de l''anglais, ainsi qu''une bonne présentation et rigueur.",381,35,53,Rekrute,https://www.rekrute.com/offre-emploi-commerciale-reservations-femme-recrutement-manpower-agences-tanger-178470.html
stage pfe – génie industriel laayoun,non spécifié,laâyoune (maroc),"catégorie: lancer 4k
stage pfe en génie industriel à laayoune. rejoignez une entreprise marocaine de référence pour une mission concrète d''amélioration continue. vous analyserez, optimiserez les processus et proposerez des solutions innovantes. profil : étudiant(e) en dernière année d''école d''ingénieur, à l''aise avec l''analyse de données et la résolution de problèmes.",386,39,50,Rekrute,https://www.rekrute.com/offre-emploi-stage-pfe-genie-industriel-laayoun-recrutement-confidentiel-laayoune-178469.html
commercial(e) sédentaire,domino hr morocco,casablanca (maroc),"catégorie: 
domino rh recherche un(e) commercial(e) sédentaire pour une entreprise spécialisée dans la vente d''équipements industriels. vos missions incluent la gestion d''un portefeuille clients, la préparation de devis et factures, et le suivi commercial. vous justifiez d''au moins 3 ans d''expérience dans le secteur industriel, avec une formation technique et de bonnes compétences en bureautique.",407,25,55,Rekrute,https://www.rekrute.com/offre-emploi-commerciale-sedentaire-recrutement-domino-hr-morocco-casablanca-178468.html
auditeur qualité fournisseurs h/f,groupe azura,agadir (maroc),"catégorie: 
azura recrute un auditeur qualité fournisseurs h/f basé à agadir. vous serez responsable de l''élaboration et de la réalisation des audits fournisseurs, du suivi des plans d''action et de la qualification des fournisseurs. un master en performance industrielle/qualité et au moins 5 ans d''expérience sont requis.",330,34,47,Rekrute,https://www.rekrute.com/offre-emploi-auditeur-qualite-fournisseurs-hf-recrutement-groupe-azura-agadir-178467.html
conseiller d''entretien - casablanca,campus france,casablanca (maroc),"catégorie: 
campus france maroc recrute des conseillers d''entretien pour ses espaces de rabat, casablanca, marrakech, fès et tanger. vos missions incluent la conduite d''entretiens d''évaluation, la rédaction de synthèses, et la gestion administrative de dossiers de candidature. une excellente maîtrise du français, une bonne connaissance des systèmes d''enseignement supérieur français et marocain, ainsi que de solides qualités relationnelles sont requises. mission en statut d''auto-entrepreneur.",507,35,64,Rekrute,https://www.rekrute.com/offre-emploi-conseiller-dentretien---casablanca-recrutement-campus-france-casablanca-178466.html
approvisionneur h/f,locamed,rabat (maroc),"catégorie: 
approvisionneur h/f recherché à rabat pour locamed, leader de la distribution de matériel médical. vos missions incluront la gestion des commandes, la négociation fournisseurs et l''optimisation des stocks. un bac +3 en achats et 1 à 3 ans d''expérience sont requis, ainsi que d''excellentes compétences organisationnelles et de négociation.",360,19,50,Rekrute,https://www.rekrute.com/offre-emploi-approvisionneur-hf-recrutement-locamed-rabat-178465.html
responsable contrôle de gestion industriel (h/f),energy transfo,casablanca (maroc),"catégorie: 
energy transfo recherche un responsable contrôle de gestion industriel (h/f) pour piloter la performance financière et opérationnelle. vos missions incluront l''élaboration budgétaire, le suivi des kpis, l''analyse des écarts et l''amélioration continue des processus. vous justifiez d''une formation bac+5, d''une expérience de 5-8 ans en contrôle de gestion industriel et maîtrisez excel avancé.",416,49,54,Rekrute,https://www.rekrute.com/offre-emploi-responsable-controle-de-gestion-industriel-hf-recrutement-energy-transfo-casablanca-178339.html
formateur franco-anglophone - secteur du travel,concentrix,marrakech (maroc),"catégorie: 
rejoignez une entreprise technologique mondiale en tant que formateur franco-anglophone pour le secteur du travel. vous serez responsable de la préparation, de l''animation et du suivi des formations pour des activités de service client. un bilinguisme parfait en français et anglais, une expérience réussie dans un poste similaire et une bonne pédagogie sont requis.",385,47,55,Rekrute,https://www.rekrute.com/offre-emploi-formateur-franco-anglophone---secteur-du-travel-recrutement-concentrix-marrakech-177564.html
chargé(e) de supervision obc & sécurité transport,outsourcia,casablanca (maroc),"catégorie: 
créé en 2003, le groupe outsourcia est un opérateur spécialisé dans les métiers de l''outsourcing : gestion de la relation client à distance, multiservice, multilingue et multicanal (centres d''appels,... dans le cadre du renforcement du pilotage de la sécurité transport et du suivi des conducteurs chez l''un de nos clients donneur d''ordre, nous recrutons un(e) chargé(e) de supervision obc & sécurité...",428,52,62,Rekrute,https://www.rekrute.com/offre-emploi-chargee-de-supervision-obc-securite-transport-recrutement-outsourcia-casablanca-178464.html
conseiller d''entretien - marrakech,campus france,marrakech (maroc),"catégorie: 
campus france maroc recrute des conseillers d''entretien pour ses espaces à rabat, casablanca, marrakech, fès et tanger. vos missions incluront la conduite d''entretiens d''évaluation, la rédaction de bilans et la gestion administrative de dossiers, sous statut auto-entrepreneur. une excellente maîtrise du français, une bonne connaissance des systèmes d''enseignement supérieur français et marocain, ainsi que de solides qualités d''écoute et d''analyse sont requises.",488,34,63,Rekrute,https://www.rekrute.com/offre-emploi-conseiller-dentretien---marrakech-recrutement-campus-france-marrakech-178463.html
comptable groupe (h/f),non spécifié,casablanca (maroc),"catégorie: lancer 4k
nous recherchons un chef comptable groupe h/f expérimenté pour notre société d''import/export/négoce à casablanca. vos responsabilités incluront la comptabilité générale, les déclarations fiscales, l''élaboration des états financiers et le contrôle de gestion. un bac +4 minimum, 10-20 ans d''expérience et la maîtrise du français sont requis.",379,22,48,Rekrute,https://www.rekrute.com/offre-emploi-comptable-groupe-hf-recrutement-confidentiel-casablanca-177457.html
responsable achat import (h/f),non spécifié,casablanca (maroc),"catégorie: lancer 4k
nous recrutons un(e) responsable achat import (h/f) expérimenté(e) à casablanca pour notre groupe leader dans les matériaux de construction. vous piloterez la stratégie d''approvisionnement, optimiserez les coûts et les relations fournisseurs. ce poste requiert un bac+4, 10 à 20 ans d''expérience en achats import/export/négoce, et d''excellentes compétences en négociation et analyse.",416,30,53,Rekrute,https://www.rekrute.com/offre-emploi-responsable-achat-import-hf-recrutement-confidentiel-casablanca-178162.html
comptable au sein d''une école (h/f),non spécifié,casablanca (maroc),"catégorie: lancer 4k
nous recherchons un comptable (h/f) pour notre établissement d''enseignement supérieur. vos responsabilités incluront la gestion comptable et financière complète, le suivi de trésorerie, et la préparation des états financiers. vous devez posséder une formation bac+4 en comptabilité/finance, une expérience confirmée et une grande rigueur.",372,36,46,Rekrute,https://www.rekrute.com/offre-emploi-comptable-au-sein-dune-ecole-hf-recrutement-confidentiel-casablanca-178462.html
"commerciaux sédentaires en assurance : 5000dhs net, primes déplafonnées, transport assuré",eca assurances,casablanca (maroc),"catégorie: 
eca assurances recherche des commerciaux sédentaires en assurance pour commercialiser des produits auprès des particuliers. vous justifiez d''une expérience en centre d''appels et possédez de bonnes techniques de vente. salaire net 5000dhs avec primes déplafonnées et transport assuré.",303,93,39,Rekrute,https://www.rekrute.com/offre-emploi-commerciaux-sedentaires-en-assurance-5000dhs-net-primes-deplafonnees-transport-assure-recrutement-eca-assurances-casablanca-178136.html
gestionnaire de facturation senior,non spécifié,casablanca (maroc),"catégorie: lancer 4k
gestionnaire de facturation senior recherché pour piloter la facturation et sécuriser le chiffre d''affaires sur un portefeuille international via netsuite. vos missions incluent la production, le contrôle des factures, le suivi des encaissements, et la production de reportings financiers. profil bac +5 avec une expérience confirmée, excellente maîtrise d''excel et netsuite, et anglais courant requis.",430,34,57,Rekrute,https://www.rekrute.com/offre-emploi-gestionnaire-de-facturation-senior-recrutement-confidentiel-casablanca-178461.html
analyste sourcing,attijariwafa bank,casablanca (maroc),"catégorie: 
attijariwafa bank recherche un(e) analyste sourcing pour renforcer son équipe capital humain à casablanca. vous serez responsable de l''identification, l''approche et la qualification des meilleurs talents, ainsi que de l''alimentation du vivier de candidats. un bac+5 et 2 ans d''expérience en rh/sourcing, avec une maîtrise des techniques de sourcing et des outils digitaux rh, sont requis.",405,17,57,Rekrute,https://www.rekrute.com/offre-emploi-analyste-sourcing-recrutement-attijariwafa-bank-casablanca-177863.html
trésorier / salle des marchés,attijariwafa bank,casablanca (maroc),"catégorie: 
groupe attijariwafa bank recherche un trésorier / salle des marchés. vous serez en charge de la gestion de la liquidité en monnaie locale et en devises, des interventions sur le marché monétaire, et de l''élaboration des prévisions de trésorerie. vous devez avoir un bac+5 en finance de marché, une expérience de 2 ans minimum dans un poste similaire, et posséder un fort esprit d''analyse et de synthèse.",428,31,68,Rekrute,https://www.rekrute.com/offre-emploi-tresorier-salle-des-marches-recrutement-attijariwafa-bank-casablanca-178460.html
chargé d''affaires grandes entreprises,attijariwafa bank,casablanca (maroc),"catégorie: 
groupe attijariwafa bank recherche un chargé d''affaires grandes entreprises pour sa banque de financement et d''investissement. vous analyserez financièrement les crédits, suivrez le risque client et renforcerez la présence commerciale. expérience minimum de 3 ans, bac+5 en finance/commerce/gestion requise, avec de solides compétences relationnelles et commerciales.",386,38,47,Rekrute,https://www.rekrute.com/offre-emploi-charge-daffaires-grandes-entreprises-recrutement-attijariwafa-bank-casablanca-178459.html
technicien(ne) dessinatrice dao – coordination de projets,non spécifié,casablanca (maroc),"catégorie: lancer 4k
smart fit maroc recherche un(e) technicien(ne) dessinatrice dao expérimenté(e) pour un rôle clé en coordination de projets. vous serez responsable de la production et mise à jour de plans (autocad/archicad), la gestion documentaire, et le suivi de chantier. une expérience dans le retail et de solides compétences organisationnelles sont requises.",376,59,52,Rekrute,https://www.rekrute.com/offre-emploi-technicienne-dessinatrice-dao-coordination-de-projets-recrutement-confidentiel-casablanca-177203.html
comptable fournisseurs,non spécifié,casablanca (maroc),"catégorie: lancer 4k
rejoignez notre client en tant que comptable fournisseurs pour gérer la saisie, le contrôle et le suivi des factures fournisseurs. vous serez responsable des règlements, des litiges et des rapprochements bancaires, tout en participant aux clôtures comptables. un bac+2 à bac+5 avec 2 ans d''expérience et une bonne maîtrise d''excel sont requis pour ce poste axé sur la rigueur et l''esprit d''équipe.",428,22,64,Rekrute,https://www.rekrute.com/offre-emploi-comptable-fournisseurs-recrutement-confidentiel-casablanca-178457.html
